grp,map_order,day,q1,q2,q3,q4,q5,q6,q7,variant,diary_map_order,updated_at,variant_roster,tester
A,mist_first,1,"나무 캐기, 낚시, 주민 퀘스트, 집 짓기, 채굴","1. 호수와 유사한 외형의 나루터 및 바다터에서 낚시 기능 이용이 불가하여, 낚시 가능 지역과 불가능 지역을 명확히 구분할 수 있도록 시각적 안내 또는 기능 안내를 하거나, 나루터와 바다터에서도 낚시가 가능하면 좋을 것 같습니다.

2. 농사 과정마다 괭이(2번) → 씨앗(3번) → 물조리개(4번) → 수확 도구(5번)를 각각 선택해야 하여 조작 과정이 다소 복잡합니다. 농사 행동에 따라 도구가 자동으로 전환되거나, 하나의 단축키/상호작용으로 농사 과정을 진행할 수 있도록 조작 방식을 간소화할 필요가 있습니다.",3,모르겠어요,,,"1. 안개 날씨 효과가 과도하게 적용되어 화면 전체가 지나치게 뿌옇게 보이며, 주변 환경 및 오브젝트 식별이 어렵습니다. 안개 효과의 강도를 완화하여 시야를 확보했으면 좋겠습니다.",beta_A,mist_first,2026-09-09 12:37:29.337000+00:00,beta_A,T01
A,mist_first,2,"농사, 요리, 카페에서 서빙, 낚시, 주민 퀘스트, 집안 가구 배치, 채집 숲에서 채집, 닭장 짓기","1. 농부 삼촌의 ‘물 주기 4회’ 퀘스트 진행 중 비가 내릴 경우 물주기 기능을 사용할 수 없어, 해당 퀘스트의 진행이 불가능한 상황이 발생합니다. 우천 시에도 퀘스트 진행이 가능하도록 조건을 조정하거나, 해당 날씨를 고려한 대체 진행 방법을 제공할 필요가 있습니다.

2. 채굴 동굴 내부가 어두워 광질이 가능한 오브젝트를 직관적으로 식별하기 어렵습니다. 채굴 가능 오브젝트의 밝기나 강조 효과를 조정하여, 어두운 환경에서도 상호작용 대상을 쉽게 식별할 수 있도록 하는 것이 좋겠습니다.",3,"봤어요 · 해당 장소에 대한 안내가 출력되었고, 상호작용할 오브젝트가 근처에 있으면 그에 따른 행동 가이드가 출력됩니다.",,,,beta_A,mist_first,2026-09-10 13:46:32.201000+00:00,beta_A,T01
A,mist_first,3,"안개 낀 숲 정화, 나루터에서 나룻배 타기","1. 정령 달래기 시 음표가 단순히 작아지는 방식으로만 표시되어, 플레이어가 어느 시점에 탭해야 하는지 직관적으로 판단하기 어렵습니다. 음표의 탭 판정 기준점 및 타이밍을 명확하게 표시하여, 플레이어가 적절한 타이밍에 입력할 수 있도록 개선할 필요가 있습니다.",3,봤어요,,,"1. 나룻배 이동 시 선체 주변에 발생하는 물보라 이펙트의 발광 효과가 과도하여, 이동 중 화면을 지속적으로 바라볼 때 시각적 피로를 유발합니다. 물보라 이펙트의 밝기를 완화하여 시각적 피로를 줄일 필요가 있습니다.",beta_A,mist_first,2026-09-11 14:30:32.445000+00:00,beta_A,T01
A,mist_first,4,괭이로 잘못 간 밭 삽으로 원상복구하기,5일차 바다터가 열리면 그 때 피드백하겠습니다.,3,봤어요,,,,beta_A,mist_first,2026-09-12 13:36:15.172000+00:00,beta_A,T01
A,mist_first,5,"집 증축, 바다터 낚시, 개선된 요리 및 나룻배 체험","1. 나룻배 물보라 이펙트는 개선되어 눈부심이 완화되었으나, 나룻배 탑승 중 아이템 획득 시 발생하는 이펙트의 발광 효과가 여전히 눈부심을 유발합니다. 해당 이펙트도 밝기를 완화할 필요가 있습니다.

2. 바다터 낚시에서 ‘당기세요!!’ 상태에서는 스페이스바를 길게 눌러 게이지를 충전할 수 있으나, 이후 ‘버티세요...!’ 상태로 전환될 경우 키를 계속 누르고 있으면 부두 끝까지의 거리가 급격히 감소하여 물고기를 놓칠 위험이 있습니다. 반대로 스페이스바를 반복 입력하면 이러한 위험은 줄어들지만 지속적인 연타로 인해 조작 피로도가 발생합니다. 스페이스바를 지속 입력하는 방식과 반복 입력 방식 간의 조작 리스크 및 피로도를 완화할 수 있도록 입력 방식을 개선하여, 플레이어가 보다 편안하게 낚시를 진행할 수 있도록 조정할 필요가 있습니다.",3,봤어요,,,"1. 집 증축 시 외관은 변경되지만 실내 구조 및 공간에는 변화가 없어, 실제로 집이 확장되었다는 느낌이 부족합니다. 증축 단계에 따라 실내 공간 및 구조도 함께 확장되도록 구현하여, 집을 발전시키는 과정이 시각적으로 체감될 수 있도록 개선하면 좋을 것으로 판단됩니다.",beta_A,mist_first,2026-09-13 12:30:54.563000+00:00,beta_A,T01
A,mist_first,6,"주민에게 선물 돌리기, 박물관 구경, 집 증축, 텃밭의 자재 작업대 기능 체험","1. 박물관 입구와 큐레이터 할아버지의 위치가 가까워, 큐레이터에게 대화를 시도하기 위해 스페이스바를 입력할 경우 대화 대신 박물관 입장 기능이 실행되는 경우가 발생합니다. 큐레이터 할아버지의 위치를 조정할 필요가 있습니다.",3,봤어요,,,,beta_A,mist_first,2026-09-14 14:43:48.466000+00:00,beta_A,T01
A,mist_first,7,"주민 퀘스트, 텃밭 확장 밑 시설 추가, 일꾼 고용","1. 텃밭에 고용한 일꾼을 해고한 이후에도 고용 상태가 유지되는 것으로 표시되어, 해당 일꾼을 다시 고용할 수 없는 문제가 발생합니다. 일꾼 해고 시 고용 상태가 정상적으로 갱신되도록 수정하여, 필요에 따라 일꾼을 재고용할 수 있도록 개선할 필요가 있습니다.",3,봤어요,마을,A,,beta_A,mist_first,2026-09-15 12:52:10.241000+00:00,beta_A,T01
A,mist_first,1,퀘스트 도장깨기,"맨 처음 집에 가구놓으라할때..
가구가 없어서 진행할수가없엇슴",3,모르겠어요,,,"물 줄 때 효과음이 퉁퉁거리는데 물소리가 나면 더 몰입감있을거같아요
모바일 편의성이 개선되면 더 좋을 거 같아요",beta_A,mist_first,2026-09-09 14:40:09.428000+00:00,beta_A,T02
A,mist_first,2,"일퀘를 함
닭장을 만듦
광산에 가서 돌캠
물고기를 잡음
배를 탐",일퀘 다 끝내니까 할 게 없어서 방황하다가 껐어요,2,"봤어요 · 낚시꾼 할아버지와 대화를 해보세요
- 안함",,,"배경음악을 차분하게 바꿔주세요
뭔가 여기 가입한 사람들이랑 교류할수있는 무언가가 있으면 좋겠어요!!
마을 게시판이나.. 동숲처럼 선물 집어넣어서 편지 보내기 같은거",beta_A,mist_first,2026-09-10 13:55:59.389000+00:00,beta_A,T02
A,mist_first,4,안개숲 밝히기를 했다,"정령들 위에 뜨는 음표가 너무 작은 것 같다
그리고 작다의 기준이 명확하지 않아 판정 타이밍을 잡기가 어려웠다
음표가 빨간색이 됐을 때 터치해주세요 < 이렇게 바꾸면 더 명확해서 좋을 것 같다",3,모르겠어요,,,,beta_A,mist_first,2026-09-12 14:53:24.921000+00:00,beta_A,T02
